dm_milk_production_national_month_key	program	year	geo_level	month	production_weight_lbs	production_weight_by_cattle_head_lbs	milk_cows
386	SURVEY	1962	NATIONAL	2	9,685,000,000	568	17,039,000
387	SURVEY	1962	NATIONAL	3	11,044,000,000	650	16,996,000
388	SURVEY	1962	NATIONAL	4	11,280,000,000	665	16,951,000
389	SURVEY	1962	NATIONAL	5	12,449,000,000	736	16,912,000
390	SURVEY	1962	NATIONAL	6	11,886,000,000	705	16,870,000
391	SURVEY	1962	NATIONAL	7	10,884,000,000	647	16,823,000
392	SURVEY	1962	NATIONAL	8	10,184,000,000	607	16,777,000
393	SURVEY	1962	NATIONAL	9	9,573,000,000	572	16,739,000
394	SURVEY	1962	NATIONAL	10	9,782,000,000	586	16,691,000
395	SURVEY	1962	NATIONAL	11	9,379,000,000	563	16,650,000
396	SURVEY	1962	NATIONAL	12	9,847,000,000	593	16,603,000
397	SURVEY	1963	NATIONAL	1	10,153,000,000	613	16,552,000
398	SURVEY	1963	NATIONAL	2	9,498,000,000	576	16,497,000
399	SURVEY	1963	NATIONAL	3	10,906,000,000	663	16,443,000
400	SURVEY	1963	NATIONAL	4	11,220,000,000	685	16,386,000
401	SURVEY	1963	NATIONAL	5	12,297,000,000	753	16,333,000
402	SURVEY	1963	NATIONAL	6	11,809,000,000	725	16,279,000
403	SURVEY	1963	NATIONAL	7	10,848,000,000	668	16,229,000
404	SURVEY	1963	NATIONAL	8	10,172,000,000	629	16,174,000
405	SURVEY	1963	NATIONAL	9	9,548,000,000	592	16,129,000
406	SURVEY	1963	NATIONAL	10	9,648,000,000	600	16,084,000
407	SURVEY	1963	NATIONAL	11	9,279,000,000	579	16,034,000
408	SURVEY	1963	NATIONAL	12	9,824,000,000	614	15,990,000
409	SURVEY	1964	NATIONAL	1	10,287,000,000	645	15,942,000
410	SURVEY	1964	NATIONAL	2	10,070,000,000	634	15,891,000
411	SURVEY	1964	NATIONAL	3	11,186,000,000	706	15,842,000
412	SURVEY	1964	NATIONAL	4	11,363,000,000	719	15,794,000
413	SURVEY	1964	NATIONAL	5	12,380,000,000	786	15,746,000
414	SURVEY	1964	NATIONAL	6	11,782,000,000	750	15,702,000
415	SURVEY	1964	NATIONAL	7	10,810,000,000	690	15,658,000
416	SURVEY	1964	NATIONAL	8	10,207,000,000	654	15,608,000
417	SURVEY	1964	NATIONAL	9	9,623,000,000	619	15,557,000
418	SURVEY	1964	NATIONAL	10	9,698,000,000	625	15,510,000
419	SURVEY	1964	NATIONAL	11	9,430,000,000	610	15,462,000
420	SURVEY	1964	NATIONAL	12	10,131,000,000	657	15,411,000
421	SURVEY	1965	NATIONAL	1	10,494,000,000	684	15,351,000
422	SURVEY	1965	NATIONAL	2	9,795,000,000	641	15,291,000
423	SURVEY	1965	NATIONAL	3	11,177,000,000	734	15,227,000
424	SURVEY	1965	NATIONAL	4	11,264,000,000	743	15,152,000
425	SURVEY	1965	NATIONAL	5	12,100,000,000	802	15,078,000
426	SURVEY	1965	NATIONAL	6	11,567,000,000	771	14,999,000
427	SURVEY	1965	NATIONAL	7	10,704,000,000	717	14,920,000
428	SURVEY	1965	NATIONAL	8	9,929,000,000	669	14,841,000
429	SURVEY	1965	NATIONAL	9	9,270,000,000	628	14,762,000
430	SURVEY	1965	NATIONAL	10	9,346,000,000	636	14,686,000
431	SURVEY	1965	NATIONAL	11	9,032,000,000	619	14,603,000
432	SURVEY	1965	NATIONAL	12	9,502,000,000	654	14,526,000
433	SURVEY	1966	NATIONAL	1	9,792,000,000	678	14,452,000
434	SURVEY	1966	NATIONAL	2	9,142,000,000	636	14,375,000
435	SURVEY	1966	NATIONAL	3	10,524,000,000	736	14,298,000
436	SURVEY	1966	NATIONAL	4	10,750,000,000	756	14,223,000
437	SURVEY	1966	NATIONAL	5	11,482,000,000	812	14,145,000
438	SURVEY	1966	NATIONAL	6	11,247,000,000	799	14,073,000
439	SURVEY	1966	NATIONAL	7	10,327,000,000	737	14,014,000
440	SURVEY	1966	NATIONAL	8	9,755,000,000	699	13,960,000
441	SURVEY	1966	NATIONAL	9	9,212,000,000	663	13,904,000
442	SURVEY	1966	NATIONAL	10	9,258,000,000	668	13,854,000
443	SURVEY	1966	NATIONAL	11	8,928,000,000	647	13,803,000
444	SURVEY	1966	NATIONAL	12	9,495,000,000	690	13,756,000
445	SURVEY	1967	NATIONAL	1	9,804,000,000	715	13,708,000
446	SURVEY	1967	NATIONAL	2	9,158,000,000	670	13,659,000
447	SURVEY	1967	NATIONAL	3	10,406,000,000	765	13,601,000
448	SURVEY	1967	NATIONAL	4	10,668,000,000	788	13,546,000
449	SURVEY	1967	NATIONAL	5	11,353,000,000	842	13,490,000
450	SURVEY	1967	NATIONAL	6	11,033,000,000	821	13,436,000
451	SURVEY	1967	NATIONAL	7	10,326,000,000	772	13,382,000
452	SURVEY	1967	NATIONAL	8	9,688,000,000	727	13,328,000
453	SURVEY	1967	NATIONAL	9	9,115,000,000	686	13,280,000
454	SURVEY	1967	NATIONAL	10	9,166,000,000	693	13,224,000
455	SURVEY	1967	NATIONAL	11	8,777,000,000	666	13,181,000
456	SURVEY	1967	NATIONAL	12	9,238,000,000	703	13,139,000
457	SURVEY	1968	NATIONAL	1	9,497,000,000	725	13,091,000
458	SURVEY	1968	NATIONAL	2	9,194,000,000	705	13,048,000
459	SURVEY	1968	NATIONAL	3	10,191,000,000	784	12,999,000
460	SURVEY	1968	NATIONAL	4	10,445,000,000	806	12,953,000
461	SURVEY	1968	NATIONAL	5	11,217,000,000	869	12,905,000
462	SURVEY	1968	NATIONAL	6	10,777,000,000	838	12,853,000
463	SURVEY	1968	NATIONAL	7	10,190,000,000	796	12,808,000
464	SURVEY	1968	NATIONAL	8	9,612,000,000	753	12,762,000
465	SURVEY	1968	NATIONAL	9	9,088,000,000	715	12,710,000
466	SURVEY	1968	NATIONAL	10	9,123,000,000	720	12,665,000
467	SURVEY	1968	NATIONAL	11	8,742,000,000	693	12,614,000
468	SURVEY	1968	NATIONAL	12	9,149,000,000	728	12,571,000
469	SURVEY	1969	NATIONAL	1	9,408,000,000	750	12,536,000
470	SURVEY	1969	NATIONAL	2	8,834,000,000	707	12,492,000
471	SURVEY	1969	NATIONAL	3	10,015,000,000	805	12,446,000
472	SURVEY	1969	NATIONAL	4	10,237,000,000	825	12,403,000
473	SURVEY	1969	NATIONAL	5	11,038,000,000	893	12,355,000
474	SURVEY	1969	NATIONAL	6	10,710,000,000	870	12,315,000
475	SURVEY	1969	NATIONAL	7	10,121,000,000	824	12,276,000
476	SURVEY	1969	NATIONAL	8	9,643,000,000	788	12,236,000
477	SURVEY	1969	NATIONAL	9	9,143,000,000	749	12,199,000
478	SURVEY	1969	NATIONAL	10	9,091,000,000	747	12,169,000
479	SURVEY	1969	NATIONAL	11	8,669,000,000	714	12,140,000
480	SURVEY	1969	NATIONAL	12	9,199,000,000	759	12,113,000
481	SURVEY	1970	NATIONAL	1	9,405,470,000	778	12,087,000
482	SURVEY	1970	NATIONAL	2	8,856,750,000	734	12,070,000
483	SURVEY	1970	NATIONAL	3	10,103,350,000	838	12,053,000
484	SURVEY	1970	NATIONAL	4	10,295,450,000	856	12,034,000
485	SURVEY	1970	NATIONAL	5	11,052,600,000	920	12,019,000
486	SURVEY	1970	NATIONAL	6	10,707,890,000	892	11,999,000
487	SURVEY	1970	NATIONAL	7	10,212,050,000	852	11,986,000
488	SURVEY	1970	NATIONAL	8	9,734,250,000	813	11,969,000
489	SURVEY	1970	NATIONAL	9	9,202,850,000	770	11,956,000
490	SURVEY	1970	NATIONAL	10	9,277,550,000	777	11,945,000
491	SURVEY	1970	NATIONAL	11	8,837,400,000	741	11,932,000
492	SURVEY	1970	NATIONAL	12	9,320,990,000	782	11,916,000
493	SURVEY	1971	NATIONAL	1	9,576,080,000	804	11,907,000
494	SURVEY	1971	NATIONAL	2	8,996,140,000	757	11,888,000
495	SURVEY	1971	NATIONAL	3	10,223,140,000	861	11,879,000
496	SURVEY	1971	NATIONAL	4	10,425,140,000	879	11,865,000
497	SURVEY	1971	NATIONAL	5	11,160,990,000	942	11,850,000
498	SURVEY	1971	NATIONAL	6	10,819,850,000	914	11,839,000
499	SURVEY	1971	NATIONAL	7	10,288,090,000	870	11,829,000
500	SURVEY	1971	NATIONAL	8	9,863,050,000	834	11,819,000
501	SURVEY	1971	NATIONAL	9	9,331,770,000	790	11,808,000
502	SURVEY	1971	NATIONAL	10	9,446,260,000	801	11,796,000
503	SURVEY	1971	NATIONAL	11	9,006,110,000	764	11,791,000
504	SURVEY	1971	NATIONAL	12	9,429,480,000	800	11,782,000
505	SURVEY	1972	NATIONAL	1	9,728,000,000	827	11,769,000
506	SURVEY	1972	NATIONAL	2	9,399,000,000	800	11,755,000
507	SURVEY	1972	NATIONAL	3	10,455,000,000	890	11,742,000
508	SURVEY	1972	NATIONAL	4	10,572,000,000	901	11,734,000
509	SURVEY	1972	NATIONAL	5	11,280,000,000	963	11,718,000
510	SURVEY	1972	NATIONAL	6	10,962,000,000	937	11,701,000
511	SURVEY	1972	NATIONAL	7	10,455,000,000	895	11,683,000
512	SURVEY	1972	NATIONAL	8	9,989,000,000	856	11,671,000
513	SURVEY	1972	NATIONAL	9	9,442,000,000	810	11,659,000
514	SURVEY	1972	NATIONAL	10	9,438,000,000	810	11,653,000
515	SURVEY	1972	NATIONAL	11	8,925,000,000	767	11,643,000
516	SURVEY	1972	NATIONAL	12	9,380,000,000	807	11,630,000
517	SURVEY	1973	NATIONAL	1	9,532,000,000	822	11,601,000
518	SURVEY	1973	NATIONAL	2	8,945,000,000	774	11,557,000
519	SURVEY	1973	NATIONAL	3	10,184,000,000	884	11,518,000
520	SURVEY	1973	NATIONAL	4	10,303,000,000	898	11,472,000
521	SURVEY	1973	NATIONAL	5	10,960,000,000	958	11,439,000
522	SURVEY	1973	NATIONAL	6	10,542,000,000	924	11,407,000
523	SURVEY	1973	NATIONAL	7	10,021,000,000	881	11,375,000
524	SURVEY	1973	NATIONAL	8	9,496,000,000	837	11,348,000
525	SURVEY	1973	NATIONAL	9	8,885,000,000	785	11,322,000
526	SURVEY	1973	NATIONAL	10	8,957,000,000	792	11,314,000
527	SURVEY	1973	NATIONAL	11	8,603,000,000	761	11,308,000
528	SURVEY	1973	NATIONAL	12	9,063,000,000	802	11,304,000
529	SURVEY	1974	NATIONAL	1	9,335,000,000	828	11,279,000
530	SURVEY	1974	NATIONAL	2	8,763,000,000	778	11,261,000
531	SURVEY	1974	NATIONAL	3	9,989,000,000	888	11,254,000
532	SURVEY	1974	NATIONAL	4	10,124,000,000	901	11,240,000
533	SURVEY	1974	NATIONAL	5	10,869,000,000	968	11,225,000
534	SURVEY	1974	NATIONAL	6	10,615,000,000	946	11,216,000
535	SURVEY	1974	NATIONAL	7	10,171,000,000	907	11,215,000
536	SURVEY	1974	NATIONAL	8	9,711,000,000	866	11,219,000
537	SURVEY	1974	NATIONAL	9	9,137,000,000	814	11,220,000
538	SURVEY	1974	NATIONAL	10	9,100,000,000	812	11,213,000
539	SURVEY	1974	NATIONAL	11	8,663,000,000	773	11,209,000
540	SURVEY	1974	NATIONAL	12	9,109,000,000	812	11,215,000
541	SURVEY	1975	NATIONAL	1	9,358,000,000	835	11,206,000
542	SURVEY	1975	NATIONAL	2	8,773,000,000	783	11,200,000
543	SURVEY	1975	NATIONAL	3	9,999,000,000	894	11,185,000
544	SURVEY	1975	NATIONAL	4	10,116,000,000	905	11,179,000
545	SURVEY	1975	NATIONAL	5	10,787,000,000	966	11,161,000
546	SURVEY	1975	NATIONAL	6	10,445,000,000	937	11,147,000
547	SURVEY	1975	NATIONAL	7	9,975,000,000	896	11,135,000
548	SURVEY	1975	NATIONAL	8	9,544,000,000	858	11,119,000
549	SURVEY	1975	NATIONAL	9	9,050,000,000	815	11,099,000
550	SURVEY	1975	NATIONAL	10	9,162,000,000	826	11,090,000
551	SURVEY	1975	NATIONAL	11	8,832,000,000	798	11,073,000
552	SURVEY	1975	NATIONAL	12	9,357,000,000	845	11,074,000
553	SURVEY	1976	NATIONAL	1	9,597,000,000	867	11,074,000
554	SURVEY	1976	NATIONAL	2	9,289,000,000	840	11,061,000
555	SURVEY	1976	NATIONAL	3	10,285,000,000	931	11,046,000
556	SURVEY	1976	NATIONAL	4	10,475,000,000	949	11,042,000
557	SURVEY	1976	NATIONAL	5	11,107,000,000	1,007	11,028,000
558	SURVEY	1976	NATIONAL	6	10,786,000,000	978	11,023,000
559	SURVEY	1976	NATIONAL	7	10,435,000,000	946	11,027,000
560	SURVEY	1976	NATIONAL	8	10,117,000,000	918	11,026,000
561	SURVEY	1976	NATIONAL	9	9,590,000,000	870	11,017,000
562	SURVEY	1976	NATIONAL	10	9,603,000,000	872	11,016,000
563	SURVEY	1976	NATIONAL	11	9,210,000,000	836	11,013,000
564	SURVEY	1976	NATIONAL	12	9,686,000,000	880	11,003,000
565	SURVEY	1977	NATIONAL	1	9,888,000,000	899	10,995,000
566	SURVEY	1977	NATIONAL	2	9,285,000,000	845	10,983,000
567	SURVEY	1977	NATIONAL	3	10,580,000,000	964	10,971,000
568	SURVEY	1977	NATIONAL	4	10,732,000,000	979	10,962,000
569	SURVEY	1977	NATIONAL	5	11,358,000,000	1,037	10,953,000
570	SURVEY	1977	NATIONAL	6	10,968,000,000	1,003	10,938,000
571	SURVEY	1977	NATIONAL	7	10,671,000,000	976	10,937,000
572	SURVEY	1977	NATIONAL	8	10,362,000,000	948	10,936,000
573	SURVEY	1977	NATIONAL	9	9,810,000,000	897	10,938,000
574	SURVEY	1977	NATIONAL	10	9,824,000,000	900	10,913,000
575	SURVEY	1977	NATIONAL	11	9,380,000,000	860	10,910,000
576	SURVEY	1977	NATIONAL	12	9,797,000,000	899	10,899,000
577	SURVEY	1978	NATIONAL	1	9,958,000,000	915	10,887,000
578	SURVEY	1978	NATIONAL	2	9,241,000,000	851	10,860,000
579	SURVEY	1978	NATIONAL	3	10,491,000,000	968	10,834,000
580	SURVEY	1978	NATIONAL	4	10,610,000,000	982	10,801,000
581	SURVEY	1978	NATIONAL	5	11,151,000,000	1,034	10,783,000
582	SURVEY	1978	NATIONAL	6	10,817,000,000	1,005	10,768,000
583	SURVEY	1978	NATIONAL	7	10,503,000,000	975	10,768,000
584	SURVEY	1978	NATIONAL	8	10,182,000,000	945	10,779,000
585	SURVEY	1978	NATIONAL	9	9,683,000,000	897	10,790,000
586	SURVEY	1978	NATIONAL	10	9,780,000,000	906	10,793,000
587	SURVEY	1978	NATIONAL	11	9,320,000,000	864	10,788,000
588	SURVEY	1978	NATIONAL	12	9,724,000,000	901	10,792,000
589	SURVEY	1979	NATIONAL	1	9,954,000,000	923	10,788,000
590	SURVEY	1979	NATIONAL	2	9,274,000,000	862	10,759,000
591	SURVEY	1979	NATIONAL	3	10,528,000,000	980	10,738,000
592	SURVEY	1979	NATIONAL	4	10,598,000,000	989	10,717,000
593	SURVEY	1979	NATIONAL	5	11,240,000,000	1,049	10,712,000
594	SURVEY	1979	NATIONAL	6	10,945,000,000	1,023	10,701,000
595	SURVEY	1979	NATIONAL	7	10,677,000,000	997	10,704,000
596	SURVEY	1979	NATIONAL	8	10,404,000,000	971	10,716,000
597	SURVEY	1979	NATIONAL	9	9,981,000,000	930	10,736,000
598	SURVEY	1979	NATIONAL	10	10,060,000,000	937	10,734,000
599	SURVEY	1979	NATIONAL	11	9,619,000,000	896	10,739,000
600	SURVEY	1979	NATIONAL	12	10,070,000,000	937	10,751,000
601	SURVEY	1980	NATIONAL	1	10,311,000,000	959	10,748,000
602	SURVEY	1980	NATIONAL	2	9,965,000,000	927	10,753,000
603	SURVEY	1980	NATIONAL	3	10,931,000,000	1,016	10,755,000
604	SURVEY	1980	NATIONAL	4	11,015,000,000	1,024	10,759,000
605	SURVEY	1980	NATIONAL	5	11,688,000,000	1,085	10,776,000
606	SURVEY	1980	NATIONAL	6	11,325,000,000	1,051	10,779,000
607	SURVEY	1980	NATIONAL	7	11,063,000,000	1,025	10,788,000
608	SURVEY	1980	NATIONAL	8	10,784,000,000	997	10,818,000
609	SURVEY	1980	NATIONAL	9	10,344,000,000	955	10,828,000
610	SURVEY	1980	NATIONAL	10	10,451,000,000	964	10,841,000
611	SURVEY	1980	NATIONAL	11	10,044,000,000	926	10,847,000
612	SURVEY	1980	NATIONAL	12	10,485,000,000	966	10,850,000
613	SURVEY	1981	NATIONAL	1	10,803,000,000	996	10,844,000
614	SURVEY	1981	NATIONAL	2	10,149,000,000	935	10,855,000
615	SURVEY	1981	NATIONAL	3	11,519,000,000	1,061	10,853,000
616	SURVEY	1981	NATIONAL	4	11,531,000,000	1,062	10,860,000
617	SURVEY	1981	NATIONAL	5	12,078,000,000	1,111	10,873,000
618	SURVEY	1981	NATIONAL	6	11,552,000,000	1,062	10,880,000
619	SURVEY	1981	NATIONAL	7	11,361,000,000	1,044	10,881,000
620	SURVEY	1981	NATIONAL	8	11,106,000,000	1,018	10,909,000
621	SURVEY	1981	NATIONAL	9	10,625,000,000	972	10,928,000
622	SURVEY	1981	NATIONAL	10	10,763,000,000	983	10,944,000
623	SURVEY	1981	NATIONAL	11	10,393,000,000	948	10,965,000
624	SURVEY	1981	NATIONAL	12	10,890,000,000	991	10,984,000
625	SURVEY	1982	NATIONAL	1	11,106,000,000	1,010	10,997,000
626	SURVEY	1982	NATIONAL	2	10,361,000,000	943	10,993,000
627	SURVEY	1982	NATIONAL	3	11,700,000,000	1,064	10,996,000
628	SURVEY	1983	NATIONAL	1	11,436,000,000	1,037	11,025,000
629	SURVEY	1983	NATIONAL	2	10,695,000,000	970	11,024,000
630	SURVEY	1983	NATIONAL	3	12,020,000,000	1,089	11,038,000
631	SURVEY	1983	NATIONAL	4	11,954,000,000	1,083	11,042,000
632	SURVEY	1983	NATIONAL	5	12,612,000,000	1,141	11,057,000
633	SURVEY	1983	NATIONAL	6	12,256,000,000	1,108	11,058,000
634	SURVEY	1983	NATIONAL	7	12,039,000,000	1,088	11,066,000
635	SURVEY	1983	NATIONAL	8	11,664,000,000	1,054	11,069,000
636	SURVEY	1983	NATIONAL	9	11,211,000,000	1,012	11,083,000
637	SURVEY	1983	NATIONAL	10	11,394,000,000	1,027	11,092,000
638	SURVEY	1983	NATIONAL	11	10,974,000,000	989	11,095,000
639	SURVEY	1983	NATIONAL	12	11,333,000,000	1,024	11,063,000
640	SURVEY	1984	NATIONAL	1	11,365,000,000	1,035	10,982,000
641	SURVEY	1984	NATIONAL	2	10,850,000,000	999	10,863,000
642	SURVEY	1984	NATIONAL	3	11,706,000,000	1,084	10,797,000
643	SURVEY	1984	NATIONAL	4	11,656,000,000	1,083	10,766,000
644	SURVEY	1984	NATIONAL	5	12,218,000,000	1,136	10,758,000
645	SURVEY	1984	NATIONAL	6	11,700,000,000	1,088	10,750,000
646	SURVEY	1984	NATIONAL	7	11,482,000,000	1,068	10,748,000
647	SURVEY	1984	NATIONAL	8	11,191,000,000	1,040	10,758,000
648	SURVEY	1984	NATIONAL	9	10,771,000,000	1,000	10,775,000
649	SURVEY	1984	NATIONAL	10	10,905,000,000	1,013	10,769,000
650	SURVEY	1984	NATIONAL	11	10,515,000,000	976	10,774,000
651	SURVEY	1984	NATIONAL	12	10,992,000,000	1,020	10,774,000
652	SURVEY	1985	NATIONAL	1	11,276,000,000	1,047	10,773,000
653	SURVEY	1985	NATIONAL	2	10,483,000,000	972	10,785,000
654	SURVEY	1985	NATIONAL	3	11,866,000,000	1,098	10,810,000
655	SURVEY	1985	NATIONAL	4	12,026,000,000	1,106	10,871,000
656	SURVEY	1985	NATIONAL	5	12,872,000,000	1,176	10,948,000
657	SURVEY	1985	NATIONAL	6	12,503,000,000	1,136	11,009,000
658	SURVEY	1985	NATIONAL	7	12,549,000,000	1,137	11,036,000
659	SURVEY	1985	NATIONAL	8	12,331,000,000	1,115	11,064,000
660	SURVEY	1985	NATIONAL	9	11,759,000,000	1,060	11,094,000
661	SURVEY	1985	NATIONAL	10	11,959,000,000	1,075	11,125,000
662	SURVEY	1985	NATIONAL	11	11,501,000,000	1,034	11,125,000
663	SURVEY	1985	NATIONAL	12	11,887,000,000	1,068	11,133,000
664	SURVEY	1998	NATIONAL	1	13,275,000,000	1,445	9,185,000
665	SURVEY	1998	NATIONAL	2	12,188,000,000	1,329	9,173,000
666	SURVEY	1998	NATIONAL	3	13,692,000,000	1,494	9,164,000
667	SURVEY	1998	NATIONAL	4	13,485,000,000	1,472	9,161,000
668	SURVEY	1998	NATIONAL	5	13,992,000,000	1,526	9,168,000
669	SURVEY	1998	NATIONAL	6	13,276,000,000	1,449	9,165,000
670	SURVEY	1998	NATIONAL	7	13,159,000,000	1,438	9,147,000
671	SURVEY	1998	NATIONAL	8	12,932,000,000	1,415	9,142,000
672	SURVEY	1998	NATIONAL	9	12,395,000,000	1,357	9,137,000
673	SURVEY	1998	NATIONAL	10	12,921,000,000	1,417	9,118,000
674	SURVEY	1998	NATIONAL	11	12,602,000,000	1,381	9,123,000
675	SURVEY	1998	NATIONAL	12	13,345,000,000	1,463	9,123,000
676	SURVEY	1999	NATIONAL	1	13,618,000,000	1,494	9,114,000
677	SURVEY	1999	NATIONAL	2	12,593,000,000	1,382	9,114,000
678	SURVEY	1999	NATIONAL	3	14,250,000,000	1,560	9,137,000
679	SURVEY	1999	NATIONAL	4	13,919,000,000	1,523	9,137,000
680	SURVEY	1999	NATIONAL	5	14,453,000,000	1,579	9,152,000
681	SURVEY	1999	NATIONAL	6	13,625,000,000	1,487	9,164,000
682	SURVEY	1999	NATIONAL	7	13,430,000,000	1,465	9,167,000
683	SURVEY	1999	NATIONAL	8	13,348,000,000	1,456	9,168,000
684	SURVEY	1999	NATIONAL	9	12,954,000,000	1,413	9,169,000
685	SURVEY	1999	NATIONAL	10	13,410,000,000	1,464	9,162,000
686	SURVEY	1999	NATIONAL	11	13,140,000,000	1,432	9,174,000
687	SURVEY	1999	NATIONAL	12	13,849,000,000	1,510	9,171,000
688	SURVEY	2000	NATIONAL	1	14,242,000,000	1,552	9,174,000
689	SURVEY	2000	NATIONAL	2	13,582,000,000	1,480	9,179,000
690	SURVEY	2000	NATIONAL	3	14,752,000,000	1,605	9,193,000
691	SURVEY	2000	NATIONAL	4	14,380,000,000	1,564	9,193,000
692	SURVEY	2000	NATIONAL	5	14,774,000,000	1,605	9,204,000
693	SURVEY	2000	NATIONAL	6	13,989,000,000	1,518	9,218,000
694	SURVEY	2000	NATIONAL	7	14,086,000,000	1,528	9,216,000
695	SURVEY	2000	NATIONAL	8	13,766,000,000	1,494	9,214,000
696	SURVEY	2000	NATIONAL	9	13,210,000,000	1,434	9,212,000
697	SURVEY	2000	NATIONAL	10	13,691,000,000	1,487	9,206,000
698	SURVEY	2000	NATIONAL	11	13,172,000,000	1,433	9,193,000
699	SURVEY	2000	NATIONAL	12	13,749,000,000	1,496	9,189,000
700	SURVEY	2001	NATIONAL	1	14,003,000,000	1,529	9,158,000
701	SURVEY	2001	NATIONAL	2	12,867,000,000	1,409	9,133,000
702	SURVEY	2001	NATIONAL	3	14,380,000,000	1,579	9,108,000
703	SURVEY	2001	NATIONAL	4	14,077,000,000	1,548	9,093,000
704	SURVEY	2001	NATIONAL	5	14,649,000,000	1,610	9,100,000
705	SURVEY	2001	NATIONAL	6	13,959,000,000	1,533	9,106,000
706	SURVEY	2001	NATIONAL	7	13,849,000,000	1,523	9,093,000
707	SURVEY	2001	NATIONAL	8	13,537,000,000	1,491	9,079,000
708	SURVEY	2001	NATIONAL	9	13,122,000,000	1,446	9,073,000
709	SURVEY	2001	NATIONAL	10	13,598,000,000	1,498	9,075,000
710	SURVEY	2001	NATIONAL	11	13,303,000,000	1,463	9,095,000
711	SURVEY	2001	NATIONAL	12	13,988,000,000	1,535	9,114,000
712	SURVEY	2002	NATIONAL	1	14,321,000,000	1,572	9,109,000
713	SURVEY	2002	NATIONAL	2	13,259,000,000	1,455	9,113,000
714	SURVEY	2002	NATIONAL	3	14,905,000,000	1,635	9,117,000
715	SURVEY	2002	NATIONAL	4	14,620,000,000	1,600	9,139,000
716	SURVEY	2002	NATIONAL	5	15,144,000,000	1,656	9,146,000
717	SURVEY	2002	NATIONAL	6	14,325,000,000	1,564	9,158,000
718	SURVEY	2002	NATIONAL	7	14,225,000,000	1,554	9,152,000
719	SURVEY	2002	NATIONAL	8	14,145,000,000	1,545	9,156,000
720	SURVEY	2002	NATIONAL	9	13,476,000,000	1,472	9,154,000
721	SURVEY	2002	NATIONAL	10	13,897,000,000	1,520	9,142,000
722	SURVEY	2002	NATIONAL	11	13,499,000,000	1,477	9,142,000
723	SURVEY	2002	NATIONAL	12	14,247,000,000	1,558	9,143,000
724	SURVEY	2003	NATIONAL	1	14,599,000,000	1,597	9,141,000
725	SURVEY	2003	NATIONAL	2	13,448,000,000	1,471	9,141,000
726	SURVEY	2003	NATIONAL	3	15,044,000,000	1,646	9,140,000
727	SURVEY	2003	NATIONAL	4	14,641,000,000	1,605	9,121,000
728	SURVEY	2003	NATIONAL	5	15,011,000,000	1,649	9,101,000
729	SURVEY	2003	NATIONAL	6	14,337,000,000	1,576	9,098,000
730	SURVEY	2003	NATIONAL	7	14,257,000,000	1,570	9,084,000
731	SURVEY	2003	NATIONAL	8	14,017,000,000	1,546	9,067,000
732	SURVEY	2003	NATIONAL	9	13,466,000,000	1,487	9,053,000
733	SURVEY	2003	NATIONAL	10	13,891,000,000	1,539	9,028,000
734	SURVEY	2003	NATIONAL	11	13,464,000,000	1,495	9,004,000
735	SURVEY	2003	NATIONAL	12	14,173,000,000	1,576	8,994,000
736	SURVEY	2004	NATIONAL	1	14,394,000,000	1,602	8,983,000
737	SURVEY	2004	NATIONAL	2	13,605,000,000	1,513	8,993,000
738	SURVEY	2004	NATIONAL	3	14,763,000,000	1,640	9,002,000
739	SURVEY	2004	NATIONAL	4	14,532,000,000	1,616	8,993,000
740	SURVEY	2004	NATIONAL	5	15,029,000,000	1,670	8,998,000
741	SURVEY	2004	NATIONAL	6	14,278,000,000	1,584	9,014,000
742	SURVEY	2004	NATIONAL	7	14,396,000,000	1,595	9,025,000
743	SURVEY	2004	NATIONAL	8	14,206,000,000	1,574	9,027,000
744	SURVEY	2004	NATIONAL	9	13,610,000,000	1,507	9,029,000
745	SURVEY	2004	NATIONAL	10	14,081,000,000	1,561	9,022,000
746	SURVEY	2004	NATIONAL	11	13,622,000,000	1,510	9,019,000
747	SURVEY	2004	NATIONAL	12	14,316,000,000	1,588	9,016,000
748	SURVEY	2005	NATIONAL	1	14,606,000,000	1,623	8,999,000
749	SURVEY	2005	NATIONAL	2	13,523,000,000	1,503	8,995,000
750	SURVEY	2005	NATIONAL	3	15,197,000,000	1,687	9,010,000
751	SURVEY	2005	NATIONAL	4	15,046,000,000	1,666	9,029,000
752	SURVEY	2005	NATIONAL	5	15,696,000,000	1,736	9,043,000
753	SURVEY	2005	NATIONAL	6	15,083,000,000	1,666	9,053,000
754	SURVEY	2005	NATIONAL	7	14,977,000,000	1,653	9,059,000
755	SURVEY	2005	NATIONAL	8	14,891,000,000	1,641	9,075,000
756	SURVEY	2005	NATIONAL	9	14,253,000,000	1,569	9,085,000
757	SURVEY	2005	NATIONAL	10	14,609,000,000	1,609	9,078,000
758	SURVEY	2005	NATIONAL	11	14,199,000,000	1,564	9,081,000
759	SURVEY	2005	NATIONAL	12	14,851,000,000	1,633	9,096,000
760	SURVEY	2006	NATIONAL	1	15,348,000,000	1,684	9,112,000
761	SURVEY	2006	NATIONAL	2	14,248,000,000	1,563	9,116,000
762	SURVEY	2006	NATIONAL	3	15,967,000,000	1,748	9,135,000
763	SURVEY	2006	NATIONAL	4	15,535,000,000	1,698	9,148,000
